salesanalysis,Design,Category_Code,VOCNO
1,DIAMOND BACELET,REP,78
1,DIAMOND,BT,2
1,DIAMOND RING,RN,77
1,DIAMOND BRACELET,BT,77
1,Multi Tourmaline              ,,79
1,DIAMOND EARRING,ER,67
1,DIAMOND RING,RN,67
1,DIAMOND NECKLACE,NK,67
1,DIAMOND NECKLACE,,73
1,DIAMOND RING,,73
1,DIAMOND EARRING,,73
1,DIAMOND BRACELET,,73
1,DIAMOND PENDANT,PN,76
1,DIAMOND PENDANT,PN,374
1,DIAMOND EARRING,ER,374
1,DIAMOND RING,RN,358
1,DIAMOND PENDANT,PN,396
1,DIAMOND PENDANT,PN,396
1,DIAMOND PENDANT,PN,369
1,DIAMOND RING,RN,364
1,Multi Tourmaline              ,,364
1,DIAMOND RING,RN,382
1,DIAMOND,PN,389
1,DIAMOND RING,RN,401
1,DIAMOND RING,RN,412
1,DIAMOND RING,RN,412
1,DIAMOND RING,RN,412
1,DIAMOND RING,RN,412
1,DIAMOND RING,RN,412
1,DIAMOND RING,PN,375
1,DIAMOND BRACELET,BT,375
1,DIAMOND PENDANT,NK,375
1,DIAMOND BRACELET,BR,189
1,DIAMOND PENDANT,PN,205
1,DIAMOND ANKLET,AN,212
1,DIAMOND RING,RN,228
1,DIAMOND EARRING,ER,192
1,DIAMOND RING,RN,192
1,DIAMOND RING,RN,192
1,DIAMOND RING,RN,218
1,DIAMOND PENDANT,PN,218
1,GOLD  PENDANT,PN,215
1,DIAMOND,PN,216
1,,,196
1,DIAMOND BRACELET,BR,204
1,DIAMOND PENDANT,PN,207
1,DIAMOND EARRING,ER,206
1,DIAMOND RING,RN,186
1,DIAMOND RING BAN,RN,185
1,DIAMOND PENDANT,PN,12
1,DIAMOND EARRING,ER,12
1,DIAMOND RING,RN,203
1,DIAMOND PENDANT,PN,203
1,DIAMOND RING,RN,13
1,DIAMOND BRACELET,BT,13
1,DIAMOND BRACELET,BT,13
1,DIAMOND EARRING,ER,211
1,DIAMOND EARRING,ER,223
1,DIAMOND RING,RN,11
1,DIAMOND RING,RN,188
1,DIAMOND PENDANT,PN,190
1,DIAMOND RING,RN,191
1,DIAMOND RING,RN,191
1,DIAMOND EARRING,ER,191
1,DIAMOND PENDANT,PN,191
1,DIAMOND RING,RN,193
1,DIAMOND BRACELET,BT,193
1,DIAMOND BANGLE,BN,201
1,DIAMOND EARRING,ER,214
1,DIAMOND EARRING,ER,221
1,DIAMOND EARRING,ER,221
1,DIAMOND RING,RN,222
1,DIAMOND EARRING,ER,222
1,DIAMOND ANKLET,AN,225
1,DIAMOND BANGLE,BN,231
1,DIAMOND EARRING,ER,230
1,GOLD EARRING,GE,230
1,DIAMOND RING,RN,14
1,DIAMOND EARRING,ER,14
1,DIAMOND EARRING,REP,14
1,GOLD BRACELET,GBT,27
1,DIAMOND BANGLE,BN,36
1,DIAMOND SUITI,SUT,24
1,DIAMOND EARRING,ER,21
1,DIAMOND PENDANT,PN,21
1,DIAMOND RING,RN,21
1,DIAMOND RING,RN,20
1,GOLD PENDANT WITH PMOP AND MAL,GPN,27
1,DIAMOND EARRING,ER,10
1,DIAMOND PENDANT,PN,10
